2025-10-08 02:42:01 INFO  reader.com.solvd.DistinctWordCalculator - Processing done. Results saved to C:\Users\ninik\Desktop\Java projects\food-delivery-modified\src\main\resources\Results.txt
2025-10-08 02:42:39 INFO  com.solvd.fooddelivery.Main - Restaurant{name='Dolce Pizza', address='Tsereteli St.'}
2025-10-08 02:42:40 INFO  com.solvd.fooddelivery.Main - Liza
2025-10-08 02:42:40 INFO  com.solvd.fooddelivery.Main - John Doe
2025-10-08 02:42:40 INFO  com.solvd.fooddelivery.Main - OrderNode{customer=Customer [name=John Doe], order=order.com.solvd.Order@192d43ce, items=[{Pizza=15}]}
2025-10-08 02:42:40 INFO  com.solvd.fooddelivery.Main - Delivery assignment for customer: Liza
2025-10-08 02:42:40 INFO  com.solvd.fooddelivery.Main - Liza
2025-10-08 02:42:40 INFO  com.solvd.fooddelivery.Main - Delivery fee: 1.29
2025-10-08 02:42:40 INFO  com.solvd.fooddelivery.Main - order is valid
2025-10-08 02:42:40 INFO  com.solvd.fooddelivery.Main - Total with promo: 2.25
2025-10-08 02:42:40 INFO  com.solvd.fooddelivery.Main - ---------------------------
2025-10-08 02:42:40 INFO  com.solvd.fooddelivery.Main - Customer Liza
2025-10-08 02:42:40 INFO  com.solvd.fooddelivery.Main - Delivery time 19
2025-10-08 02:42:40 INFO  com.solvd.fooddelivery.Main - Total fee: 15.0
2025-10-08 02:42:40 INFO  com.solvd.fooddelivery.Main - ----------------------
2025-10-08 02:42:40 INFO  com.solvd.fooddelivery.Main - total revenue: 15
2025-10-08 02:42:40 INFO  com.solvd.fooddelivery.Main - Sorted orders: [order.com.solvd.Order@192d43ce]
2025-10-08 02:42:40 INFO  com.solvd.fooddelivery.Main - All customers: Liza, John Doe
2025-10-08 02:42:40 INFO  com.solvd.fooddelivery.Main - All couriers available? true
2025-10-09 13:30:27 INFO  com.solvd.fooddelivery.Main - Restaurant{name='Dolce Pizza', address='Tsereteli St.'}
2025-10-09 13:30:27 INFO  com.solvd.fooddelivery.Main - Liza
2025-10-09 13:30:27 INFO  com.solvd.fooddelivery.Main - John Doe
2025-10-09 13:30:27 INFO  com.solvd.fooddelivery.Main - OrderNode{customer=Customer [name=John Doe], order=order.com.solvd.fooddelivery.Order@1ab3a8c8, items=[{Pizza=15}]}
2025-10-09 13:30:27 INFO  com.solvd.fooddelivery.Main - Delivery assignment for customer: Liza
2025-10-09 13:30:27 INFO  com.solvd.fooddelivery.Main - Liza
2025-10-09 13:30:27 INFO  com.solvd.fooddelivery.Main - Delivery fee: 1.29
2025-10-09 13:30:27 INFO  com.solvd.fooddelivery.Main - order is valid
2025-10-09 13:30:27 INFO  com.solvd.fooddelivery.Main - Total with promo: 2.25
2025-10-09 13:30:27 INFO  com.solvd.fooddelivery.Main - ---------------------------
2025-10-09 13:30:28 INFO  com.solvd.fooddelivery.Main - Customer Liza
2025-10-09 13:30:28 INFO  com.solvd.fooddelivery.Main - Delivery time 32
2025-10-09 13:30:28 INFO  com.solvd.fooddelivery.Main - Total fee: 15.0
2025-10-09 13:30:28 INFO  com.solvd.fooddelivery.Main - ----------------------
2025-10-09 13:30:28 INFO  com.solvd.fooddelivery.Main - total revenue: 15
2025-10-09 13:30:28 INFO  com.solvd.fooddelivery.Main - Sorted orders: [order.com.solvd.fooddelivery.Order@1ab3a8c8]
2025-10-09 13:30:28 INFO  com.solvd.fooddelivery.Main - All customers: Liza, John Doe
2025-10-09 13:30:28 INFO  com.solvd.fooddelivery.Main - All couriers available? true
2025-10-09 13:30:28 INFO  com.solvd.fooddelivery.Main - Order is not valid
